Date,Close,High,Low,Open,Volume,realized_vol,regime_shift_label,log_return,return_zscore,volume_zscore,vol_ratio,momentum
2015-03-31,73.94000244140625,74.5999984741211,72.94000244140625,73.11000061035156,2556000,0.0132985707328623,0,0.004608981524453678,0.5197074613444905,-0.21169591119492936,1.0850381556120223,-0.06393208708617493
2015-04-01,75.06999969482422,75.0999984741211,73.02999877929688,73.61000061035156,3976000,0.0135414461930146,0,0.015167020992461066,1.0951572027709933,0.45332891211613524,0.9299454895026599,-0.032976911621377614
2015-04-02,75.68000030517578,76.16999816894531,74.61000061035156,75.16999816894531,2158400,0.0136455764212807,0,0.008092921256377514,0.6583106571864518,-0.45674827761545855,0.9693171279149271,-0.03739509461584267
2015-04-06,76.2300033569336,76.6500015258789,74.75,75.12999725341797,2556500,0.0135646745757959,0,0.0072412012610184396,0.5380583239730989,-0.2591921112248554,0.9874173199778008,-0.01702127199070813
2015-04-07,75.6500015258789,76.68000030517578,75.62000274658203,76.06999969482422,2601300,0.0135918773659336,0,-0.007637669632482649,-0.4085037096526517,-0.2531241420596471,0.979819192339588,-0.029257009757068464
2015-04-08,75.44000244140625,76.3499984741211,75.12000274658203,75.68000030517578,1938500,0.0135715340617308,0,-0.002779789717181575,-0.17136892034579926,-0.5637456635237124,0.9506891309441544,-0.007499009062026163
2015-04-09,76.33000183105469,76.3499984741211,75.20999908447266,75.62000274658203,1556200,0.0137282597945966,0,0.011728399111615736,0.8063675890968364,-0.7484724452291716,0.5182602977903756,0.0042099682387943815
2015-04-10,76.52999877929688,76.62999725341797,76.0,76.30000305175781,1801200,0.0135547501410009,0,0.0026167350721388784,0.23279472629762918,-0.6312132549174114,0.4944986227203683,-0.011240345341480995
2015-04-13,76.0199966430664,77.0,75.88999938964844,76.44000244140625,1230000,0.0135821460428481,0,-0.006686385468637691,-0.41175583783486264,-0.8761945013942797,0.5654063910381859,-0.020613321913159566
2015-04-14,75.94999694824219,76.5999984741211,75.58999633789062,76.0199966430664,1924800,0.0134506344791518,0,-0.0009212305419054447,0.046038285764665905,-0.5390549904797836,0.5755627747201384,-0.030384333297295063
2015-04-15,76.02999877929688,76.5,75.9000015258789,76.08999633789062,1355500,0.013363226100673,0,0.0010527943241616462,0.2641571669239856,-0.73630996919048,0.5864987955219811,-0.04556872603483353
2015-04-16,75.1500015258789,75.69000244140625,75.0999984741211,75.41000366210938,2069800,0.0131648603914119,0,-0.011641846681373202,-1.002072802644887,-0.40401371270048864,0.573056474628189,-0.022629703180928717
2015-04-17,73.1500015258789,74.55000305175781,72.77999877929688,74.37999725341797,3856500,0.0137149480354025,0,-0.02697398817770481,-2.044833789781456,1.7869486674863404,0.7954914256010192,-0.05172411064738691
2015-04-20,73.91999816894531,74.30000305175781,73.41999816894531,73.41999816894531,1688300,0.0137383229552677,0,0.010471254236945244,1.0450101167739816,-0.7973953938360179,0.8478659796087799,-0.04446745623404169
2015-04-21,74.62000274658203,74.87999725341797,74.20999908447266,74.30999755859375,1894600,0.0138368070522565,0,0.009425202037929771,0.8677578874373094,-0.5446840485643041,0.8855691041058803,-0.02265875261445416
2015-04-22,75.5,75.5199966430664,74.62999725341797,74.68000030517578,1523800,0.0132985466252392,0,0.011724051654382353,0.9557704273663566,-0.9290845760791099,0.9465567401061642,0.0006627309977509377
2015-04-23,76.5199966430664,76.80000305175781,75.0,75.08000183105469,1714100,0.013530031220828,0,0.013419444447056636,1.1024507087666922,-0.6107699283013281,0.9698421067931747,0.04635579812619217
2015-04-24,76.54000091552734,77.20999908447266,75.83999633789062,76.41000366210938,1831100,0.0131014427134258,0,0.00026139125694401666,-0.21109907008985018,-0.387429304619554,0.9844722766585321,0.048924210430345116
2015-04-27,76.55000305175781,77.29000091552734,76.36000061035156,76.83999633789062,1653200,0.0130878802907308,0,0.00013067001091507111,-0.20170670403631738,-0.5985975553209875,0.9844529083935651,0.044195956909894196
2015-04-28,76.0199966430664,77.08999633789062,75.87000274658203,76.33999633789062,1698200,0.0130111359940087,0,-0.006947742567351099,-0.8345274308947395,-0.5213564053511418,1.027549872586599,0.03288041058582669
2015-04-29,76.6500015258789,77.26000213623047,75.47000122070312,75.61000061035156,2423900,0.0126959775321447,0,0.008253205822375426,0.6234263002572259,0.48333452396176907,1.0556408927808056,0.03665132533123994
2015-04-30,76.05999755859375,77.23999786376953,75.30999755859375,76.4000015258789,2109200,0.0110283408908417,0,-0.007727154823231416,-0.8334536445497357,0.2267180399294117,1.0271199198826013,0.013187663085041823
2015-05-01,76.43000030517578,76.66999816894531,75.66000366210938,76.29000091552734,1745400,0.0110503453526042,0,0.004852822845984753,0.4378715209731036,-0.3715652224163926,0.626844064659023,0.009910147951581072
2015-05-04,75.8499984741211,76.98999786376953,75.81999969482422,76.43000030517578,1655600,0.0111122933832972,0,-0.007617607570189934,-0.7381759377346281,-0.46098780297230796,0.6714309929741601,-0.00498497790998631
2015-05-05,75.0,75.62999725341797,74.75,75.3499984741211,2052200,0.0110448108598179,0,-0.011269572141171809,-1.0673697497248982,0.30925555111509273,0.7234844974323396,-0.008592220922250093
2015-05-06,74.4800033569336,75.47000122070312,73.95999908447266,75.08000183105469,1997300,0.0109078778883504,0,-0.006957435495888699,-0.6164561295515154,0.20138863821596503,0.6653362571451683,-0.012725332097096365
2015-05-07,74.7300033569336,74.83999633789062,74.16999816894531,74.4000015258789,2009500,0.0092405804770557,0,0.0033509848226055522,0.44638361742451216,0.1837118721454505,0.5383034156329564,-0.02096159355088789
2015-05-08,76.30999755859375,76.5199966430664,75.05000305175781,75.27999877929688,1585600,0.009927412897158,0,0.020922296445246357,1.9115658509814752,-0.5874028562404885,0.7927594168153773,-0.002874705660685817
2015-05-11,76.79000091552734,77.33999633789062,76.06999969482422,76.31999969482422,2139400,0.0099495883229184,0,0.0062704759566598175,0.5244067711712972,0.3747034571747159,0.8284673597464889,0.010128970092912581
2015-05-12,76.56999969482422,76.9000015258789,75.30000305175781,76.26000213623047,2082600,0.0099706603581952,0,-0.0028690841254804095,-0.2972873811144106,0.2486948039680032,0.8385958538720817,0.00816330179716207
2015-05-13,77.08000183105469,77.4800033569336,76.52999877929688,76.5999984741211,1830500,0.0100005952425787,0,0.006638516161962509,0.5359936567317377,-0.2965490616076987,0.8290806685580348,0.01381037838506094
2015-05-14,79.43000030517578,79.80999755859375,77.0999984741211,77.63999938964844,3068100,0.0110229567526634,0,0.03003226718569715,2.182064763645186,1.87725543079045,1.050443641245666,0.05695274374442971
2015-05-15,78.91999816894531,80.0,78.62999725341797,80.0,2676200,0.0110598997073745,0,-0.006441476534100962,-0.9635217618542175,1.8293416060965262,1.0829456354414142,0.07887896818464313
2015-05-18,79.41000366210938,79.52999877929688,78.4000015258789,78.69000244140625,1436000,0.0110423935116845,0,0.006189693070582835,0.2477268824314688,-1.3003616184267195,1.0434271210458028,0.07426955667147839
2015-05-19,79.62000274658203,79.93000030517578,79.37000274658203,79.75,2065600,0.0109122091519848,0,0.002641001044707756,-0.05766362657653919,0.2514497510329082,0.946750791169819,0.06700616210080512
2015-05-20,79.61000061035156,79.9000015258789,78.91000366210938,79.56999969482422,2639000,0.0108853213016589,0,-0.00012563130104573098,-0.27042820996767436,1.4959413856911072,0.8946109638672302,0.05443709417684195
2015-05-21,80.55999755859375,80.73999786376953,79.19000244140625,79.54000091552734,2761200,0.0108895683859842,0,0.011862497337609532,0.912145843049436,1.5710171193976488,0.8927852447332447,0.0527966687501602
2015-05-22,80.04000091552734,80.69999694824219,79.97000122070312,80.33999633789062,1824800,0.0109920409210976,0,-0.006475696950961104,-0.8396589192069507,-0.5655994579319659,0.8718394998339459,0.045727723518879326
2015-05-26,79.36000061035156,80.12000274658203,78.83999633789062,79.91000366210938,2080800,0.0110444498395682,0,-0.008532050486366006,-0.9708657921432561,-0.03104241268550488,0.9302129837382841,0.036708000608358216
2015-05-27,80.16000366210938,80.31999969482422,79.2699966430664,79.55000305175781,1671800,0.0111444779471758,0,0.010030212354011478,0.6969698812873367,-0.9827505748701204,0.9253228219344808,0.054459447538275585
2015-05-28,80.0199966430664,80.41999816894531,79.75,80.16999816894531,1248400,0.0111626566293839,0,-0.001748121543644833,-0.369808364222331,-1.7078457641020697,0.9418401633743815,0.04396601500457509
2015-05-29,79.08999633789062,79.98999786376953,78.94000244140625,79.88999938964844,3288000,0.0111646520206024,0,-0.011690163249645696,-1.2662410223685303,2.2177613215379077,0.6593322575581231,0.03983695604200732
2015-06-01,79.87000274658203,80.0,78.58999633789062,79.5,2288400,0.0098490593288248,0,0.00981394908919281,0.698327503972091,0.3152001528321241,0.6854022619264454,0.04500853627725676
2015-06-02,79.81999969482422,80.22000122070312,79.3499984741211,79.69999694824219,1533100,0.0097640749767135,0,-0.0006262515201649734,-0.29748587793672804,-1.0748510823751278,0.6785419255801878,0.052340162169648874
2015-06-03,80.12999725341797,80.33999633789062,79.44000244140625,79.93000030517578,1972000,0.0096817445728246,0,0.0038761857161145417,0.05584088775822123,-0.25485241191288516,0.68261561815066,0.0683999633789063
2015-06-04,78.75,80.37999725341797,78.63999938964844,79.86000061035156,1659300,0.0101584906920221,0,-0.017372003807660175,-1.838990759496387,-0.7884826577565054,0.8490697294451196,0.057330779412067434
2015-06-05,78.86000061035156,79.38999938964844,78.37999725341797,78.63999938964844,1325500,0.0099020789740035,0,0.00139585848342379,-0.11798370431573668,-1.2727346936348305,0.7631305063535317,0.0552655836731577
2015-06-08,78.16000366210938,79.18000030517578,77.9000015258789,78.9000015258789,1621300,0.0100662189169006,0,-0.008916081600630475,-0.9754841718121052,-0.7644215725630512,0.7880624657259406,0.024243299209846247
2015-06-09,77.9000015258789,78.05000305175781,76.94999694824219,77.87999725341797,2100900,0.0100927683203664,0,-0.0033320821241707953,-0.39153623741189375,0.07350259841213329,0.7667648974485347,0.014455014938372202
2015-06-10,79.55999755859375,79.69999694824219,77.98999786376953,78.18000030517578,1776000,0.0106536598526755,0,0.021085450835053164,1.703594084053177,-0.46263208577671777,0.9258416806813421,0.039049208249789746
2015-06-11,79.6500015258789,80.29000091552734,79.41999816894531,79.80999755859375,1918300,0.0105774609617204,0,0.0011306322139389348,-0.045477851200112315,-0.22451551333924916,0.9425111035841784,0.03334197760473834
2015-06-12,79.86000061035156,80.26000213623047,79.05999755859375,79.33000183105469,1794900,0.0104415071557737,0,0.002633053764487731,0.2624832990953543,-0.35965670716663495,0.9604160852308952,0.005413575519623404
2015-06-15,78.9000015258789,79.25,78.3499984741211,79.16999816894531,2459700,0.0107156755824663,0,-0.012093862086613078,-1.2979090987878514,0.9481294394294972,0.9717916970791493,-0.0002533786559852924
2015-06-16,79.94000244140625,80.43000030517578,78.83000183105469,78.93000030517578,3579400,0.010804182171057,0,0.013095136632429017,1.319621602060917,2.4585776141030173,1.0471189120873037,0.006674206710177488
2015-06-17,77.91000366210938,80.0,77.73999786376953,79.5,6464200,0.0116906071211437,0,-0.02572202247653879,-2.1872845163177375,3.607467000205199,1.2315635704093197,-0.021477003585585352
2015-06-18,79.38999938964844,79.94000244140625,77.81999969482422,77.81999969482422,3858600,0.0120080345923467,0,0.018818046701884635,1.564970101766902,1.2433739893922549,1.2600623689994375,-0.0027634872379905806
2015-06-19,79.69999694824219,79.94000244140625,79.05999755859375,79.41000366210938,3155600,0.0120103663630701,0,0.0038971394566000876,0.37494484662557576,0.637868063939536,1.357597428812249,-0.010675280988260427
2015-06-22,82.27999877929688,82.66000366210938,79.8499984741211,80.0,5830000,0.0127435029600036,0,0.03185850244318579,2.2149633586755493,2.273401189533552,1.4887102353397674,0.027985979986851595
2015-06-23,83.55000305175781,83.7699966430664,82.0999984741211,82.16999816894531,4944400,0.0129410477107788,0,0.01531724161873574,0.9176220679342918,1.4633895337719358,1.4716259413289352,0.052797409389884864
2015-06-24,83.4000015258789,84.36000061035156,82.97000122070312,83.22000122070312,4311200,0.0129262890379754,0,-0.0017969639069168278,-0.2736571170946209,0.9475510128610465,1.4198518250921819,0.04041913318051704
2015-06-25,83.94000244140625,84.2699966430664,83.48999786376953,83.81999969482422,3052900,0.0129244666823457,0,0.006453959329968577,0.29415482898011464,0.07137697551136471,1.4149335005357497,0.048987827577964715
2015-06-26,82.73999786376953,84.22000122070312,82.2699966430664,84.22000122070312,5914700,0.0122282182175965,0,-0.014399151775908541,-1.1922742440493677,1.7413283038200322,1.5071633382148366,0.046149977176446644
2015-06-29,81.27999877929688,82.05999755859375,81.1500015258789,81.22000122070312,4060300,0.0126469728303607,0,-0.017803166402992565,-1.2849469805701021,0.5475983252708252,1.5323255047112136,0.01765363696291078
2015-06-30,81.01000213623047,82.33999633789062,80.94999694824219,82.19000244140625,4086400,0.012631196059999,0,-0.0033273385993188706,-0.27928132031809794,0.496007749892285,1.5103602115671708,0.014908574867902535
2015-07-01,80.94000244140625,81.91999816894531,80.70999908447266,81.56999969482422,2944300,0.0126284994631324,0,-0.0008644606014795466,-0.09398813231547833,-0.2540152777532281,1.289565403144007,0.010108638659085178
