Date,Close,High,Low,Open,Volume,realized_vol,regime_shift_label
2015-01-02,39.68173599243164,40.24182882049301,39.49504054124459,39.59687471800572,27913900,,0
2015-01-05,39.31682586669922,39.656274166635725,39.24893426436205,39.350768430618025,39673900,,0
2015-01-06,38.73976135253906,39.673248251799095,38.64641201516309,39.359257674738885,36447900,,0
2015-01-07,39.231964111328125,39.427147625842196,38.60398293197851,39.019807695041095,29114100,,0
2015-01-08,40.3861083984375,40.521888418622424,39.64780474101017,39.67326248315389,29645200,,0
2015-01-09,40.0466423034668,40.581277356652265,39.80054333114321,40.4030667513404,23944200,,0
2015-01-12,39.545955657958984,40.34366587434169,39.34228730625495,40.241828461239585,23651900,,0
2015-01-13,39.34230041503906,40.657670018677535,39.087713271956,39.85996277375029,35270600,,0
2015-01-14,39.002838134765625,39.24045554269455,38.71430525440573,39.002838134765625,29719600,,0
2015-01-15,38.595497131347656,39.35926156977975,38.536093590275186,39.22348158486406,32750800,,0
2015-01-16,39.2404670715332,39.274409650709416,38.33243428698087,38.45124464447692,35695300,,0
2015-01-20,39.367759704589844,39.588404277913234,38.67188664211078,39.29138323493964,36161900,,0
2015-01-21,38.968894958496094,39.15559366934489,38.595500774049015,38.98586786286876,39081100,,0
2015-01-22,39.99573516845703,40.00422000213215,39.10467871904467,39.35926581355527,35898000,,0
2015-01-23,40.03815841674805,40.21636902626697,39.71567976339242,40.190911292692824,26211600,,0
2015-01-26,39.89389419555664,39.995731614111214,39.24045523137454,39.88540936263555,42525500,,0
2015-01-27,36.20237731933594,36.66063603866628,35.73563376620344,36.448479583856006,169164000,,0
2015-01-28,34.954891204833984,36.31269425891968,34.92943346990898,36.27026362162797,84507100,,0
2015-01-29,35.65076446533203,35.744113810901425,34.615443305903725,34.73425038671925,63585300,,0
2015-01-30,34.28447723388672,35.28585575049058,34.24204336198408,35.260394779899016,78004900,,0
2015-02-02,35.03126525878906,35.10764169560764,34.1402089874056,34.4457147346799,50352500,,0
2015-02-03,35.3028450012207,35.58289317235441,34.8361012865829,35.32830598593849,52082400,,0
2015-02-04,35.506500244140625,35.82049085402081,35.09916028712709,35.591361521216285,41614800,,0
2015-02-05,36.0241584777832,36.185396181342945,35.52346922886102,35.82897497223725,36548200,,0
2015-02-06,35.99021911621094,36.31269781828752,35.769577838316714,36.21934846474558,34616600,,0
2015-02-09,35.947792053222656,36.27027078740073,35.82049687894819,35.84595785615354,31381100,,0
2015-02-10,36.15146255493164,36.29573064333667,35.79504122578558,36.27027290189794,29670700,,0
2015-02-11,35.964759826660156,36.19388916530627,35.820491767253216,36.19388916530627,38262500,,0
2015-02-12,36.567291259765625,36.567291259765625,36.07508666908868,36.20238185281575,33268800,,0
2015-02-13,37.22921371459961,37.22921371459961,36.61820532721012,36.81338887680335,40264900,,0
2015-02-17,37.24631118774414,37.60526900879849,36.91298901925065,37.57963009594861,33695700,0.023990209745992926,0
2015-02-18,37.20357894897461,37.34887374330704,37.08392633028281,37.28904743396114,27111700,0.02395277246832795,0
2015-02-19,37.17793655395508,37.2035754669067,36.793336558235666,36.904443948174396,27603400,0.02382802457462782,0
2015-02-20,37.48561096191406,37.502704654763036,36.998452126728196,37.18647622748982,29721100,0.023752551540290053,0
2015-02-23,37.733463287353516,37.767647411557626,37.30613076206203,37.34886336253349,32518800,0.02310348649212199,0
2015-02-24,37.682186126708984,37.861665023514405,37.536891357660245,37.73346720877715,25271700,0.0230743629226802,0
2015-02-25,37.59672927856445,37.682194507397135,37.43434077937706,37.56254188291558,29759800,0.022988387633695425,0
2015-02-26,37.65654754638672,37.80183905642213,37.511252776062506,37.59672124692639,28957300,0.022986216295969513,0
2015-02-27,37.47706604003906,37.776200802836186,37.31468083300441,37.71637450233453,33807700,0.022955124727937665,0
2015-03-02,37.50270080566406,37.76764486690921,37.22065979303615,37.32321867931529,31924000,0.022891813585617555,0
2015-03-03,36.989898681640625,37.45996702112603,36.827513511819916,37.22920708909359,31748600,0.022760471602655718,0
2015-03-04,36.80188751220703,36.93008534587963,36.648047503568506,36.759151640693574,25748700,0.02274557765205338,0
2015-03-05,36.8446159362793,36.95572332106698,36.59676225494094,36.81042854706941,23193500,0.022703335973307544,0
2015-03-06,36.20362091064453,36.84461985520895,36.02414198863591,36.75060615502655,36248800,0.022247292981964924,0
2015-03-09,36.622406005859375,36.861714501661076,36.05832705051637,36.05832705051637,32108000,0.022399333802917292,0
2015-03-10,35.921573638916016,36.50274617630113,35.921573638916016,36.19506621412211,39159700,0.02259756907628716,0
2015-03-11,35.87882995605469,36.2121487253911,35.75917739888651,36.16087092105483,32215300,0.014076348477170297,0
2015-03-12,35.058353424072266,35.59679320605785,34.921607175028534,35.32330070797039,59992500,0.013201446652714392,0
2015-03-13,35.36604690551758,35.44296690396532,34.707954309973324,34.78487430842107,58007700,0.012784694137817937,0
2015-03-16,35.519893646240234,35.588265179903175,35.280585127695886,35.442973633188416,35273500,0.01049159573797504,0
2015-03-17,35.63953399658203,35.75064136833063,35.16946886112203,35.35749295913293,31673400,0.00977507000807339,0
2015-03-18,36.32327651977539,36.605317643573784,35.32331964875818,35.40878487763009,44194800,0.010264274105623321,0
2015-03-19,36.1437873840332,36.40018625858862,36.08396108864656,36.11814521437566,33879100,0.010277649800670235,0
2015-03-20,36.648040771484375,36.7335059782332,36.314721900759864,36.37454819754177,71904500,0.010249399257315713,0
2015-03-23,36.630958557128906,36.86171860001043,36.5625837620723,36.648052255893056,26246100,0.010247340214959703,0
2015-03-24,36.665130615234375,36.89588730128561,36.53692955828297,36.56256846555793,25513300,0.010242030177246252,0
2015-03-25,35.43441390991211,36.690772637666605,35.41732021684806,36.68222416099029,43469900,0.011999302883027021,0
2015-03-26,35.22075271606445,35.56262010606733,34.972899021326825,35.229301193973505,37495600,0.012011626353675536,0
2015-03-27,35.01564407348633,35.40878939289346,34.895991433691975,35.14384193314174,34401400,0.011587837931687264,0
