Date,Close,High,Low,Open,Volume,realized_vol,regime_shift_label
2015-01-02,7.532589435577393,7.692136661451284,7.460341811225651,7.595806734888219,13500000,,0
2015-01-05,7.412178993225098,7.587530423738199,7.40540588829729,7.531086925715779,15596000,,0
2015-01-06,7.2435994148254395,7.456580046423499,7.163072902665117,7.446796833823832,22194000,,0
2015-01-07,7.439271926879883,7.479911273051565,7.264672669631325,7.303806961162278,30907000,,0
2015-01-08,7.811045169830322,7.849427284011409,7.552910056915027,7.56570409497539,33265000,,0
2015-01-09,7.894583702087402,7.962316185720241,7.719985160561558,7.862222514928912,23432000,,0
2015-01-12,7.763635635375977,7.950276074095062,7.730522275401885,7.907378780983429,18692000,,0
2015-01-13,7.71998405456543,8.081222958564014,7.656014575600943,7.810293780565076,24337000,,0
2015-01-14,7.780944347381592,7.788470338897741,7.52657215005464,7.6093559035781135,20984000,,0
2015-01-15,7.625156402587891,7.94274577171602,7.60483637877144,7.793734656121083,18372000,,0
2015-01-16,7.813300609588623,7.820073710594756,7.549144646326202,7.577742821878857,15375000,,0
2015-01-20,7.892326354980469,7.920171660009751,7.719985039289792,7.803521672095631,12840000,,0
2015-01-21,7.930707931518555,8.043594926426996,7.835130141855378,7.851686460908237,16451000,,0
2015-01-22,7.917160511016846,8.014243340499814,7.6402103985749195,7.9758612226350865,20639000,,0
2015-01-23,8.051116943359375,8.090251216251223,7.845662369535997,7.90436377887377,15088000,,0
2015-01-26,8.032303810119629,8.057138997612867,7.873508756717357,8.033055978327383,9611000,,0
2015-01-27,7.886305332183838,7.9758621825440565,7.73804632770467,7.907377532268595,15242000,,0
2015-01-28,7.902110576629639,8.153472675558683,7.89157447512809,8.061657871697165,23302000,,0
2015-01-29,8.017252922058105,8.022520971098782,7.696653381168823,7.874262711932066,15842000,,0
2015-01-30,7.742561340332031,8.032305494415573,7.722994197061055,7.923933679200775,16938000,,0
2015-02-02,7.707942485809326,7.788469002232352,7.462601376863844,7.770406912780651,21581000,,0
2015-02-03,7.766644477844238,7.805778768572872,7.628169405684144,7.713963977908762,15390000,,0
2015-02-04,7.887058258056641,7.923182443224212,7.7102017634196915,7.746325948587263,16658000,,0
2015-02-05,7.9924163818359375,7.993921435919483,7.808033978823581,7.88253953884207,16585000,,0
2015-02-06,7.882542133331299,8.060904378716286,7.8464179525652336,7.997687062375672,10682000,,0
2015-02-09,7.694394588470459,7.853189645846141,7.662786297727747,7.823086409274353,20346000,,0
2015-02-10,8.055634498596191,8.087242790726132,7.743312418594724,7.7546014019487615,20398000,,0
2015-02-11,8.123370170593262,8.150463313103055,8.002204992217589,8.036823409548308,17169000,,0
2015-02-12,8.255820274353027,8.281407629362235,8.16249974343616,8.188087816163105,21072000,,0
